strategy,base,tier,odds,oos_win,oos_roi,bets,backed,price_column,graded_against,min_odds_floor,hold_sec,window_sec,market_status_columns,n_conditions,conditions,sql_predicate,source_book
BAS_spec:HT_Unde_0017,,Jobber,2.427,49.6,21.6,273,,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,3,lead_vs_line <= -160.315 AND open_gap <= 2.2797 AND ten_mins <= 23.4333,"""lead_vs_line"" IS NOT NULL AND ""lead_vs_line"" <= -160.315 AND ""open_gap"" IS NOT NULL AND ""open_gap"" <= 2.2797 AND ""ten_mins"" IS NOT NULL AND ""ten_mins"" <= 23.4333",COMBINA_1027.xlsx
BAS_spec:Leader_0056,spec:Leader,Npc,1.601,73.5,16.2,374,spec:Leader,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,imbal >= 0.0139,"""imbal"" IS NOT NULL AND ""imbal"" >= 0.0139",COMBINA_1027.xlsx
BAS_late_lead_ho_0219,late_lead_hold,Jobber,2.437,47,16.2,355,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,req_ratio >= 1.1619,"""req_ratio"" IS NOT NULL AND ""req_ratio"" >= 1.1619",COMBINA_1027.xlsx
BAS_late_lead_ho_0224,late_lead_hold,Jobber,2.318,49.8,15.7,419,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,tg_overround <= 1.1237,"""tg_overround"" IS NOT NULL AND ""tg_overround"" <= 1.1237",COMBINA_1027.xlsx
BAS_prop:late_le_0246,prop:late_lead_hold,Vision,2.353,50.9,15.3,323,prop:late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,tot_vs_line <= -76.8692,"""tot_vs_line"" IS NOT NULL AND ""tot_vs_line"" <= -76.8692",COMBINA_1027.xlsx
BAS_prop:late_le_0252,prop:late_lead_hold,Vision,2.263,51.9,15,306,prop:late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,prematch_dog_odds <= 4.45,"""prematch_dog_odds"" IS NOT NULL AND ""prematch_dog_odds"" <= 4.45",COMBINA_1027.xlsx
BAS_prop:late_le_0241,prop:late_lead_hold,Vision,2.283,50,12.1,317,prop:late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,dog_odds_trend_60 >= -0.6769,"""dog_odds_trend_60"" IS NOT NULL AND ""dog_odds_trend_60"" >= -0.6769",COMBINA_1027.xlsx
LZ_V270_BASK_022,,Npc,2.033,64.4,18.4,235,,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,3,lead_vs_med >= 1.0267 AND lead_size >= 7 AND lead_odds >= 1.50,"""lead_vs_med"" IS NOT NULL AND ""lead_vs_med"" >= 1.0267 AND ""lead_size"" IS NOT NULL AND ""lead_size"" >= 7 AND ""lead_odds"" IS NOT NULL AND ""lead_odds"" >= 1.50",COMBINA_1027.xlsx
BAS_late_lead_ho_0220,late_lead_hold,Jobber,2.431,47.8,17.3,290,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,req_ratio >= 1.2596,"""req_ratio"" IS NOT NULL AND ""req_ratio"" >= 1.2596",COMBINA_1027.xlsx
BAS_dog_leading_0156,dog_leading,Jobber,2.433,46.4,15.6,301,dog_leading,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,req_ratio >= 1.2493,"""req_ratio"" IS NOT NULL AND ""req_ratio"" >= 1.2493",COMBINA_1027.xlsx
BAS_late_lead_ho_0225,late_lead_hold,Jobber,2.47,46.2,12.1,316,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1,retrace_lo <= 0.1263,"""retrace_lo"" IS NOT NULL AND ""retrace_lo"" <= 0.1263",COMBINA_1027.xlsx
