strategy,family,base,market,band,bets,oos_win,oos_roi,reasons
BAS_prop:first_s_0049,prop:first_scorer_hold,prop:first_scorer_hold,,1.40-4.20,321,52.2,14.1,"the base backs the side that scored FIRST. resolve_side has no first-scorer role; resolve_side cannot answer it, so it is registered and not enabled"
BAS_spread_dog_c_0156,spread_dog_cover,spread_dog_cover,,1.40-4.20,306,58.5,12.5,"market '' / outcome 'spread' (base 'spread_dog_cover') is not one basketball settles; it settles ['lead_ml', 'match_winner', 'total_points_under', 'trail_ml']. Tried ['spread']"
BAS_prop:first_s_0062,prop:first_scorer_hold,prop:first_scorer_hold,,1.40-4.20,320,48.4,11.1,"the base backs the side that scored FIRST. resolve_side has no first-scorer role; resolve_side cannot answer it, so it is registered and not enabled"
BAS_prop:first_s_0056,prop:first_scorer_hold,prop:first_scorer_hold,,1.40-4.20,286,49.3,8.5,"the base backs the side that scored FIRST. resolve_side has no first-scorer role; resolve_side cannot answer it, so it is registered and not enabled"
BAS_prop:first_s_0060,prop:first_scorer_hold,prop:first_scorer_hold,,1.40-4.20,298,47.1,8.0,"the base backs the side that scored FIRST. resolve_side has no first-scorer role; resolve_side cannot answer it, so it is registered and not enabled"
BAS_spread_dog_c_0154,spread_dog_cover,spread_dog_cover,,1.40-4.20,297,56.0,7.7,"market '' / outcome 'spread' (base 'spread_dog_cover') is not one basketball settles; it settles ['lead_ml', 'match_winner', 'total_points_under', 'trail_ml']. Tried ['spread']"
BAS_prop:first_s_0059,prop:first_scorer_hold,prop:first_scorer_hold,,1.40-4.20,347,47.9,7.4,"the base backs the side that scored FIRST. resolve_side has no first-scorer role; resolve_side cannot answer it, so it is registered and not enabled"
BAS_prop:first_s_0054,prop:first_scorer_hold,prop:first_scorer_hold,,1.40-4.20,318,47.9,7.1,"the base backs the side that scored FIRST. resolve_side has no first-scorer role; resolve_side cannot answer it, so it is registered and not enabled"
BAS_prop:first_s_0055,prop:first_scorer_hold,prop:first_scorer_hold,,1.40-4.20,300,45.5,6.8,"the base backs the side that scored FIRST. resolve_side has no first-scorer role; resolve_side cannot answer it, so it is registered and not enabled"
BAS_q1_winner_0139,q1_winner,q1_winner,,1.40-4.20,371,71.3,6.5,"market '' / outcome '' (base 'q1_winner') is not one basketball settles; it settles ['lead_ml', 'match_winner', 'total_points_under', 'trail_ml']. Tried nothing"
BAS_prop:first_s_0098,prop:first_scorer_hold,prop:first_scorer_hold,,1.40-4.20,344,67.9,6.4,"the base backs the side that scored FIRST. resolve_side has no first-scorer role; resolve_side cannot answer it, so it is registered and not enabled"
BAS_spread_dog_c_0118,spread_dog_cover,spread_dog_cover,,1.40-4.20,305,58.7,5.6,"market '' / outcome 'spread' (base 'spread_dog_cover') is not one basketball settles; it settles ['lead_ml', 'match_winner', 'total_points_under', 'trail_ml']. Tried ['spread']"
BAS_prop:first_s_0089,prop:first_scorer_hold,prop:first_scorer_hold,,1.40-4.20,370,65.5,5.2,"the base backs the side that scored FIRST. resolve_side has no first-scorer role; resolve_side cannot answer it, so it is registered and not enabled"
BAS_prop:first_s_0047,prop:first_scorer_hold,prop:first_scorer_hold,,1.40-4.20,320,48.7,5.2,"the base backs the side that scored FIRST. resolve_side has no first-scorer role; resolve_side cannot answer it, so it is registered and not enabled"
BAS_prop:first_s_0097,prop:first_scorer_hold,prop:first_scorer_hold,,1.40-4.20,338,66.1,5.1,"the base backs the side that scored FIRST. resolve_side has no first-scorer role; resolve_side cannot answer it, so it is registered and not enabled"
